Kernel Size,Pooling Type,Optimizer,Epochs,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Precision,Recall,F1-Score
5,max,RMSprop,50,2.1665214505165244,0.19815,2.196423857262794,0.1866,0.2540404902911001,0.18737909350981655,0.14993562805316643
5,max,RMSprop,100,1.8894599516680286,0.32335,2.0979211670287112,0.232,0.24112944789637444,0.23218345659943918,0.22222173318673147
5,max,RMSprop,250,2.1627645021790913,0.1916,2.2148429221295296,0.1933,0.21129280318444796,0.1928549225764348,0.1508954661523507
5,max,RMSprop,350,2.257471954746611,0.16035,2.431273442126335,0.1487,0.1428757494578523,0.14969965695197562,0.109982983059985
5,max,Adam,5,1.152059990888948,0.5894,1.2209901999919972,0.5666333333333333,0.6076772394857224,0.5664748298337662,0.572861189803378
5,max,Adam,50,0.6149444088434718,0.7832,0.9876172451262778,0.6740666666666667,0.6724703159596198,0.6735336535229928,0.6703313378890244
5,max,Adam,100,0.7268261803183586,0.7423,1.0179163747645439,0.6560333333333334,0.6754635551963111,0.6554479397618727,0.6567271580924935
5,max,Adam,250,0.7738170673133461,0.72515,1.0151498429318693,0.6557666666666667,0.6597142626338248,0.6556007670960837,0.6527623098821999
5,max,Adam,350,0.6861112706220833,0.7556,0.9852316422665373,0.6657,0.671457386279789,0.6657705718016242,0.6646791888657841
5,avg,SGD,5,1.4219115957333024,0.48825,1.4131016254425048,0.4963,0.5042200408165416,0.4962970687487222,0.4935887241223485
5,avg,SGD,50,0.8769757512268747,0.68845,1.079244786881386,0.6266,0.6311147674611768,0.6261303253556021,0.6242895622167292
5,avg,SGD,100,1.0357393785646767,0.63075,1.1821841983084982,0.5862666666666667,0.6182936743093072,0.586412494698431,0.5884778818484845
5,avg,SGD,250,0.8901374442562177,0.68385,1.0950921228591433,0.6240333333333333,0.6208382117455101,0.623832360350048,0.6147491622279372
5,avg,SGD,350,1.0000472866046202,0.6451,1.164702778166913,0.5944,0.6062344566799748,0.5939204068784693,0.5825247765897738
5,avg,RMSprop,5,1.8694263673891687,0.32515,1.8301961325584575,0.3317333333333333,0.3424467195795768,0.3317599178494687,0.3183210814768308
